philippines,44
nicaragua,1
russia,376
montenegro,0
china,377
ukraine,125
luxembourg,7
germany,751
spain,183
italy,70
fiji,2
pakistan,36
hungary,54
venezuela,4
Undefined,2848
kyrgyzstan,3
poland,214
costa rica,1
israel,95
indonesia,25
angola,0
belarus,18
uzbekistan,1
switzerland,409
cuba,6
united kingdom,963
estonia,19
kazakhstan,3
austria,63
hong kong,9
belgium,60
norfolk island,4
france,488
moldova,15
australia,472
ghana,3
japan,491
czechia,77
panama,7
morocco,4
iran,27
canada,672
saudi arabia,6
netherlands,279
new zealand,125
georgia,2
latvia,3
thailand,14
finland,43
kenya,3
mexico,93
somalia,4
greece,26
blank field,4816
sweden,187
ireland,82
norway,32
croatia,14
dominican republic,9
zambia,4
vietnam,6
mauritius,1
united arab emirates,3
denmark,13
liechtenstein,0
slovakia,8
malaysia,3
paraguay,2
sri lanka,4
el salvador,1
bangladesh,40
nigeria,6
peru,5
ecuador,2
liberia,6
curaè¢¯,3
korea,38
cyprus,1
laos,1
iceland,8
chile,3
lithuania,14
mongolia,3
kuwait,7
india,383
taiwan,37
armenia,4
saint vincent and the grenadines,1
united states,4210
azerbaijan,2
bulgaria,20
guatemala,1
slovenia,29
egypt,8
tunisia,2
lebanon,2
qatar,0
turkey,93
timor-leste,2
macedonia,5
cambodia,0
gibraltar,2
nepal,0
south africa,45
afghanistan,0
congo (kinshasa),1
uruguay,23
colombia,13
singapore,44
portugal,69
argentina,38
serbia,4
uganda,1
zimbabwe,1
jamaica,2
algeria,3
romania,15
malta,29
brazil,271
