egypt,1
malaysia,2
nigeria,5
blank field,4828
argentina,27
armenia,1
indonesia,9
mongolia,0
lithuania,7
uganda,1
saudi arabia,2
taiwan,27
finland,45
iceland,6
czechia,62
korea,50
portugal,80
dominican republic,11
congo (kinshasa),0
sweden,156
new zealand,110
paraguay,0
netherlands,117
mexico,49
france,668
norway,54
peru,1
serbia,3
hong kong,17
montenegro,0
israel,63
georgia,1
cyprus,2
kazakhstan,0
afghanistan,3
united arab emirates,2
panama,8
algeria,1
nicaragua,12
romania,18
costa rica,1
austria,78
estonia,21
australia,405
guatemala,1
tunisia,4
bangladesh,7
south africa,81
colombia,7
russia,392
ghana,2
fiji,1
vietnam,2
slovakia,3
saint vincent and the grenadines,0
spain,168
slovenia,11
angola,0
india,317
kenya,3
singapore,46
laos,0
macedonia,0
liberia,4
hungary,54
morocco,6
Undefined,2410
timor-leste,1
turkey,34
liechtenstein,1
ecuador,0
lebanon,2
kyrgyzstan,0
brazil,83
ireland,37
croatia,8
poland,126
uruguay,10
china,478
united states,8607
ukraine,24
united kingdom,1555
cuba,3
qatar,1
jamaica,1
philippines,28
latvia,2
sri lanka,1
malta,15
azerbaijan,0
venezuela,7
uzbekistan,0
gibraltar,0
japan,396
italy,243
zimbabwe,0
kuwait,1
greece,26
germany,515
pakistan,20
moldova,4
somalia,4
curaè¢¯,2
thailand,14
luxembourg,5
switzerland,901
zambia,0
chile,6
iran,14
canada,1608
denmark,10
norfolk island,0
nepal,4
mauritius,0
cambodia,1
belarus,11
bulgaria,15
belgium,72
